College Name,Transfer30+Hours_Students,Transfer30+Hours_PCTGreater2.25,TransferAssociateDeg_Students,TransferAssociateDegree_PCTGreater2.25,Transfer_TotalStudents2016,TransferTotal_NumberGreater2.252016,TransferTotal_PCTGreater2.252016
System Totals,"5,220",79%,"6,397",87%,"11,617","9,694",83.40%
Alamance CC,87,80%,121,81%,208,168,80.80%
Asheville-Buncombe TCC,141,88%,243,93%,384,349,90.90%
Beaufort County CC,28,86%,59,92%,87,78,89.70%
Bladen CC,35,86%,26,81%,61,51,83.60%
Blue Ridge CC,47,94%,45,93%,92,86,93.50%
Brunswick CC,47,83%,73,79%,120,97,80.80%
Caldwell CC & TI,90,76%,163,81%,253,200,79.10%
Cape Fear CC,243,74%,376,86%,619,503,81.30%
Carteret CC,16,81%,43,84%,59,49,83.10%
Catawba Valley CC,141,80%,181,85%,322,267,82.90%
Central Carolina CC,49,65%,124,87%,173,140,80.90%
Central Piedmont CC,745,76%,502,86%,"1,247","1,000",80.20%
Cleveland CC,64,89%,44,89%,108,96,88.90%
Coastal Carolina CC,68,78%,176,90%,244,211,86.50%
College of The Albemarle,54,81%,55,87%,109,92,84.40%
Craven CC,60,75%,109,86%,169,139,82.20%
Davidson County CC,89,79%,85,81%,174,139,79.90%
Durham TCC,115,77%,130,91%,245,207,84.50%
Edgecombe CC,36,78%,47,81%,83,66,79.50%
Fayetteville TCC,169,80%,222,87%,391,328,83.90%
Forsyth TCC,192,81%,268,90%,460,396,86.10%
Gaston College,92,74%,180,83%,272,217,79.80%
Guilford TCC,237,75%,264,85%,501,403,80.40%
Halifax CC,18,67%,32,75%,50,36,72.00%
Haywood CC,28,79%,32,100%,60,54,90.00%
Isothermal CC,68,90%,32,91%,100,90,90.00%
James Sprunt CC,17,88%,26,88%,43,38,88.40%
Johnston CC,104,84%,114,91%,218,191,87.60%
Lenoir CC,74,77%,65,88%,139,114,82.00%
Martin CC,13,85%,8,75%,21,17,81.00%
Mayland CC,10,60%,7,86%,17,12,70.60%
McDowell TCC,14,86%,15,100%,29,27,93.10%
Mitchell CC,81,78%,128,87%,209,174,83.30%
Montgomery CC,6,50%,4,*,10,7,70.00%
Nash CC,48,85%,93,95%,141,129,91.50%
Pamlico CC,6,83%,3,*,9,8,88.90%
Piedmont CC,12,67%,22,82%,34,26,76.50%
Pitt CC,250,68%,213,83%,463,346,74.70%
Randolph CC,64,73%,55,85%,119,94,79.00%
Richmond CC,62,82%,61,80%,123,100,81.30%
Roanoke-Chowan CC,11,64%,17,76%,28,20,71.40%
Robeson CC,19,79%,48,90%,67,58,86.60%
Rockingham CC,41,85%,46,87%,87,75,86.20%
Rowan-Cabarrus CC,133,83%,171,88%,304,261,85.90%
Sampson CC,14,79%,44,91%,58,51,87.90%
Sandhills CC,63,79%,127,85%,190,158,83.20%
South Piedmont CC,57,74%,23,100%,80,65,81.30%
Southeastern CC,27,74%,45,87%,72,59,81.90%
Southwestern CC,39,92%,119,94%,158,148,93.70%
Stanly CC,39,90%,78,90%,117,105,89.70%
Surry CC,67,79%,66,91%,133,113,85.00%
Tri-County CC,32,97%,25,88%,57,53,93.00%
Vance-Granville CC,101,83%,83,89%,184,158,85.90%
Wake TCC,677,81%,703,90%,"1,380","1,176",85.20%
Wayne CC,49,71%,142,83%,191,153,80.10%
Western Piedmont CC,59,80%,73,88%,132,111,84.10%
Wilkes CC,54,87%,74,88%,128,112,87.50%
Wilson CC,18,89%,67,85%,85,73,85.90%
