UnitId,College Name,Number of applicants,Number admitted,Number admitted who enrolled,Percent of applicants admitted,Percent of admitted who enrolled
199786,Alamance Community College,-,-,-,-,-
197869,Appalachian State University,13202,9020,3125,68.30%,34.60%
197887,Asheville-Buncombe Technical Community College,-,-,-,-,-
197966,Beaufort County Community College,-,-,-,-,-
198011,Bladen Community College,-,-,-,-,-
198039,Blue Ridge Community College,-,-,-,-,-
198084,Brunswick Community College,-,-,-,-,-
198118,Caldwell Community College and Technical Institute,-,-,-,-,-
198154,Cape Fear Community College,-,-,-,-,-
433174,Carolinas College of Health Sciences,84,26,14,31.00%,53.80%
198206,Carteret Community College,-,-,-,-,-
198233,Catawba Valley Community College,-,-,-,-,-
198251,Central Carolina Community College,-,-,-,-,-
198260,Central Piedmont Community College,-,-,-,-,-
198321,Cleveland Community College,-,-,-,-,-
198330,Coastal Carolina Community College,-,-,-,-,-
197814,College of the Albemarle,-,-,-,-,-
198367,Craven Community College,-,-,-,-,-
198376,Davidson County Community College,-,-,-,-,-
198455,Durham Technical Community College,-,-,-,-,-
198464,East Carolina University,17099,12028,4320,70.30%,35.90%
198491,Edgecombe Community College,-,-,-,-,-
198507,Elizabeth City State University,1566,895,203,57.20%,22.70%
198543,Fayetteville State University,4611,2733,647,59.30%,23.70%
198534,Fayetteville Technical Community College,-,-,-,-,-
198552,Forsyth Technical Community College,-,-,-,-,-
198570,Gaston College,-,-,-,-,-
198622,Guilford Technical Community College,-,-,-,-,-
198640,Halifax Community College,-,-,-,-,-
198668,Haywood Community College,-,-,-,-,-
198710,Isothermal Community College,-,-,-,-,-
198729,James Sprunt Community College,-,-,-,-,-
198774,Johnston Community College,-,-,-,-,-
198817,Lenoir Community College,-,-,-,-,-
198905,Martin Community College,-,-,-,-,-
198914,Mayland Community College,-,-,-,-,-
198923,McDowell Technical Community College,-,-,-,-,-
198941,Mercy School of Nursing,-,-,-,-,-
198987,Mitchell Community College,-,-,-,-,-
199023,Montgomery Community College,-,-,-,-,-
199087,Nash Community College,-,-,-,-,-
199102,North Carolina A & T State University,10367,5561,1969,53.60%,35.40%
199157,North Carolina Central University,8613,5744,1154,66.70%,20.10%
199193,North Carolina State University at Raleigh,26451,12568,4388,47.50%,34.90%
199263,Pamlico Community College,-,-,-,-,-
199324,Piedmont Community College,-,-,-,-,-
199333,Pitt Community College,-,-,-,-,-
199421,Randolph Community College,-,-,-,-,-
199449,Richmond Community College,-,-,-,-,-
199467,Roanoke-Chowan Community College,-,-,-,-,-
199476,Robeson Community College,-,-,-,-,-
199485,Rockingham Community College,-,-,-,-,-
199494,Rowan-Cabarrus Community College,-,-,-,-,-
199625,Sampson Community College,-,-,-,-,-
199634,Sandhills Community College,-,-,-,-,-
197850,South Piedmont Community College,-,-,-,-,-
199722,Southeastern Community College,-,-,-,-,-
199731,Southwestern Community College,-,-,-,-,-
199740,Stanly Community College,-,-,-,-,-
199768,Surry Community College,-,-,-,-,-
199795,Tri-County Community College,-,-,-,-,-
199111,University of North Carolina at Asheville,3523,2675,665,75.90%,24.90%
199120,University of North Carolina at Chapel Hill,34889,9400,4228,26.90%,45.00%
199139,University of North Carolina at Charlotte,17518,10866,3453,62.00%,31.80%
199148,University of North Carolina at Greensboro,9038,6682,2864,73.90%,42.90%
199281,University of North Carolina at Pembroke,4573,3364,1091,73.60%,32.40%
199184,University of North Carolina School of the Arts,667,363,213,54.40%,58.70%
199218,University of North Carolina Wilmington,10443,7493,2223,71.80%,29.70%
199838,Vance-Granville Community College,-,-,-,-,-
199856,Wake Technical Community College,-,-,-,-,-
199892,Wayne Community College,-,-,-,-,-
200004,Western Carolina University,18297,7445,1924,40.70%,25.80%
199908,Western Piedmont Community College,-,-,-,-,-
199926,Wilkes Community College,-,-,-,-,-
199953,Wilson Community College,-,-,-,-,-
199999,Winston-Salem State University,5128,3244,952,63.30%,29.30%
