College Name,BEGINNING ABE LITERACY,,BEGINNING BASIC EDUCATION,,LOW INTERMEDIATE BASIC EDUCATION,,HIGH INTERMEDIATE BASIC EDUCATION,,LOW ADULT SECONDARY EDUCATION,
weaknesses,Students,Progress,Students,Progress,Students,Progress,Students,Progress,Students,Progress
System Totals,2301,33%,3131,59%,6600,64%,7017,57%,3415,53%
Alamance CC,30,40%,79,41%,162,43%,205,49%,116,60%
Asheville-Buncombe TCC,118,8%,33,45%,108,69%,139,64%,77,66%
Beaufort County CC,5,20%,27,63%,78,74%,66,45%,22,36%
Bladen CC,26,46%,21,52%,21,76%,28,79%,47,64%
Blue Ridge CC,1,*,37,86%,126,74%,90,51%,18,39%
Brunswick CC,111,34%,18,100%,36,97%,48,88%,34,97%
Caldwell CC & TI,54,17%,42,48%,76,68%,96,61%,35,57%
Cape Fear CC,44,68%,138,49%,161,57%,186,48%,51,63%
Carteret CC,22,18%,14,50%,18,61%,35,66%,62,55%
Catawba Valley CC,21,14%,25,68%,76,75%,83,72%,48,58%
Central Carolina CC,50,68%,65,72%,166,79%,234,71%,179,49%
Central Piedmont CC,114,27%,196,62%,556,60%,395,46%,74,28%
Cleveland CC,2,*,30,77%,31,81%,28,82%,19,74%
Coastal Carolina CC,9,33%,29,59%,185,70%,219,59%,100,66%
College of The Albemarle,9,67%,29,55%,55,65%,64,61%,64,50%
Craven CC,11,91%,40,70%,81,60%,78,56%,10,30%
Davidson County CC,19,84%,102,69%,275,77%,280,64%,118,69%
Durham TCC,37,46%,154,49%,177,56%,120,39%,11,45%
Edgecombe CC,55,16%,28,54%,62,84%,102,90%,91,82%
Fayetteville TCC,50,26%,111,25%,243,49%,770,60%,685,51%
Forsyth TCC,169,17%,106,63%,136,65%,116,72%,50,50%
Gaston College,6,67%,37,65%,138,61%,178,59%,158,48%
Guilford TCC,166,19%,153,48%,229,49%,171,44%,51,22%
Halifax CC,15,27%,22,18%,39,72%,44,66%,41,59%
Haywood CC,0,*,7,86%,24,92%,31,97%,9,67%
Isothermal CC,2,*,7,43%,38,66%,44,52%,43,51%
James Sprunt CC,14,71%,17,53%,29,69%,36,50%,12,42%
Johnston CC,12,83%,54,81%,100,80%,74,64%,27,70%
Lenoir CC,55,45%,72,75%,184,73%,222,66%,103,47%
Martin CC,28,32%,28,50%,41,68%,56,55%,19,68%
Mayland CC,46,46%,52,69%,151,71%,103,59%,32,66%
McDowell TCC,32,31%,36,69%,30,90%,51,67%,19,74%
Mitchell CC,54,17%,36,58%,79,76%,58,57%,20,60%
Montgomery CC,19,11%,16,56%,24,71%,31,55%,16,50%
Nash CC,2,*,28,64%,99,64%,68,41%,22,41%
Pamlico CC,6,83%,8,63%,29,83%,15,87%,7,100%
Piedmont CC,8,75%,24,79%,49,73%,89,45%,25,32%
Pitt CC,28,61%,54,59%,161,68%,147,56%,24,63%
Randolph CC,48,52%,58,55%,130,57%,117,47%,46,63%
Richmond CC,45,13%,30,40%,117,62%,167,54%,129,33%
Roanoke-Chowan CC,3,*,19,47%,30,47%,27,30%,17,18%
Robeson CC,117,24%,72,53%,126,63%,104,58%,32,50%
Rockingham CC,3,*,23,61%,103,71%,91,68%,32,53%
Rowan-Cabarrus CC,35,23%,63,59%,177,46%,163,29%,60,20%
Sampson CC,33,73%,93,55%,115,68%,102,46%,22,55%
Sandhills CC,44,48%,30,70%,48,71%,83,31%,19,42%
South Piedmont CC,16,25%,44,64%,139,55%,110,46%,34,41%
Southeastern CC,55,56%,68,49%,106,78%,135,68%,116,69%
Southwestern CC,31,45%,43,58%,94,56%,106,45%,16,44%
Stanly CC,9,78%,38,50%,74,47%,54,39%,12,25%
Surry CC,64,14%,33,55%,69,59%,63,49%,21,57%
Tri-County CC,29,52%,15,47%,23,87%,20,75%,9,78%
Vance-Granville CC,71,18%,63,70%,125,74%,145,57%,41,41%
Wake TCC,73,49%,221,56%,477,49%,397,43%,130,48%
Wayne CC,24,96%,138,83%,219,76%,156,74%,64,64%
Western Piedmont CC,19,63%,16,81%,42,93%,50,80%,22,68%
Wilkes CC,58,26%,68,69%,60,67%,73,62%,23,74%
Wilson CC,74,14%,21,38%,53,77%,54,72%,31,48%
