College Name,AFRIC-AMER FEMALE,,AFRIC-AMERIC MALE,,CAUCASIAN FEMALE,,CAUCASIAN MALE,,HISPANICFEMALE,,HISPANIC MALE,,OTHER FEMALE,,OTHER MALE,
,Students,Success,Students,Success,Students,Success,Students,Success,Students,Success,Students,Success,Students,Success,Students,Success
System Totals,"3,415",58%,"2,665",49%,"8,947",76%,"8,341",72%,"2,144",74%,"1,756",67%,"1,900",73%,"1,598",68%
Alamance CC,45,73%,49,65%,250,84%,206,76%,85,79%,55,73%,34,79%,24,63%
Asheville-Buncombe TCC 19,,42%,20,65%,253,76%,243,72%,32,78%,31,58%,22,68%,29,66%
Beaufort County CC,14,64%,8,88%,45,78%,34,88%,8,75%,4,*,9,78%,4,*
Bladen CC,16,50%,12,17%,34,71%,23,48%,6,50%,2,*,29,66%,7,71%
Blue Ridge CC,11,55%,4,*,115,76%,153,67%,12,50%,31,55%,9,56%,10,50%
Brunswick CC,21,76%,15,87%,61,69%,59,80%,8,100%,10,50%,9,44%,8,63%
Caldwell CC & TI,14,50%,14,57%,197,76%,141,76%,18,67%,6,67%,11,64%,7,86%
Cape Fear CC,82,44%,64,41%,553,75%,449,65%,59,78%,74,65%,51,65%,46,67%
Carteret CC,11,64%,3,*,110,68%,53,66%,13,77%,4,*,11,82%,4,*
Catawba Valley CC,30,83%,30,57%,329,83%,312,78%,49,80%,38,68%,53,81%,48,67%
Central Carolina CC,88,66%,71,68%,260,81%,251,76%,105,74%,66,70%,23,91%,23,78%
Central Piedmont CC,502,59%,382,53%,597,80%,721,73%,282,77%,280,65%,213,75%,232,70%
Cleveland CC,61,70%,33,70%,183,89%,183,80%,11,82%,14,71%,16,81%,11,73%
Coastal Carolina CC,50,64%,36,53%,192,72%,166,75%,55,73%,34,74%,23,65%,12,83%
College of The Albemarle 33,,61%,31,74%,151,85%,115,71%,16,69%,12,83%,24,75%,13,85%
Craven CC,29,69%,19,68%,114,73%,87,76%,17,71%,14,79%,31,81%,14,79%
Davidson County CC,18,50%,28,57%,248,81%,204,74%,27,81%,20,65%,21,71%,25,80%
Durham TCC,103,51%,87,37%,93,77%,111,77%,82,79%,69,55%,53,77%,36,75%
Edgecombe CC,50,68%,21,52%,32,72%,32,88%,10,90%,4,*,6,67%,,*
Fayetteville TCC,288,58%,222,52%,280,70%,247,72%,122,75%,104,67%,130,69%,100,61%
Forsyth TCC,98,56%,107,54%,303,79%,357,79%,104,71%,84,71%,44,64%,49,78%
Gaston College,57,37%,33,42%,292,76%,231,66%,48,69%,24,67%,71,72%,50,66%
Guilford TCC,301,51%,247,37%,282,63%,348,65%,91,58%,92,52%,84,75%,93,61%
Halifax CC,35,54%,31,48%,41,90%,22,68%,2,*,1,*,6,67%,3,*
Haywood CC,1,*,,*,92,75%,93,77%,6,83%,0,*,5,100%,7,57%
Isothermal CC,9,56%,7,43%,82,83%,63,84%,5,80%,7,71%,22,82%,22,86%
James Sprunt CC,29,76%,14,64%,30,90%,33,79%,24,88%,12,67%,4,*,2,*
Johnston CC,42,55%,48,50%,246,79%,181,75%,61,75%,31,77%,62,66%,35,69%
Lenoir CC,39,62%,58,50%,95,73%,85,68%,10,50%,16,69%,4,*,6,67%
Martin CC,9,67%,4,*,19,79%,11,64%,,*,,*,17,53%,4,*
Mayland CC,1,*,1,*,32,69%,32,81%,5,60%,1,*,6,83%,9,67%
McDowell TCC,3,*,,*,64,80%,46,76%,4,*,1,*,0,*,1,*
Mitchell CC,31,55%,20,45%,185,77%,148,72%,35,80%,19,68%,24,63%,24,63%
Montgomery CC,11,73%,5,0%,34,82%,39,64%,10,80%,6,67%,1,*,1,*
Nash CC,64,63%,43,49%,96,82%,60,62%,16,81%,10,50%,16,75%,13,46%
Pamlico CC,4,*,12,92%,24,71%,24,67%,3,*,4,*,3,*,7,86%
Piedmont CC,25,80%,26,69%,54,72%,42,86%,3,*,4,*,3,*,5,80%
Pitt CC,247,53%,198,46%,179,75%,176,72%,58,74%,32,78%,29,72%,17,59%
Randolph CC,13,62%,3,*,130,77%,84,73%,45,84%,29,76%,60,87%,43,65%
Richmond CC,27,48%,18,39%,31,77%,35,69%,4,*,5,80%,60,63%,45,71%
Roanoke-Chowan CC,26,65%,14,50%,15,73%,14,79%,1,*,3,*,6,83%,2,*
Robeson CC,45,49%,19,37%,39,59%,24,75%,16,88%,16,69%,122,53%,70,53%
Rockingham CC,19,74%,17,47%,88,75%,89,67%,12,42%,15,87%,9,67%,18,61%
Rowan-Cabarrus CC,77,61%,50,36%,325,70%,232,62%,69,71%,41,63%,31,84%,26,69%
Sampson CC,31,71%,7,57%,49,71%,37,81%,30,70%,17,76%,9,78%,10,70%
Sandhills CC,66,68%,43,47%,137,66%,133,70%,34,74%,28,75%,50,72%,26,54%
South Piedmont CC,30,70%,17,59%,117,75%,91,66%,27,70%,19,58%,25,76%,11,73%
Southeastern CC,29,52%,7,43%,68,78%,64,75%,5,60%,5,40%,13,85%,9,56%
Southwestern CC,1,*,2,*,108,70%,83,80%,8,50%,14,64%,19,53%,15,53%
Stanly CC,10,70%,18,56%,113,76%,91,69%,8,88%,8,88%,17,88%,36,86%
Surry CC,1,*,2,*,53,81%,55,75%,20,85%,18,89%,0,*,5,60%
Tri-County CC,2,*,1,*,91,88%,73,86%,1,*,4,*,1,*,5,60%
Vance-Granville CC,77,57%,47,51%,144,69%,108,73%,16,63%,23,78%,12,75%,16,75%
Wake TCC,356,54%,316,44%,715,76%,914,69%,272,69%,215,66%,231,84%,225,72%
Wayne CC,58,50%,39,41%,129,77%,119,74%,30,80%,43,77%,18,83%,9,78%
Western Piedmont CC,11,82%,8,63%,139,81%,105,77%,21,76%,11,73%,19,79%,8,100%
Wilkes CC,3,*,2,*,171,81%,168,82%,13,92%,15,67%,10,80%,10,80%
Wilson CC,42,48%,32,47%,38,58%,41,68%,10,30%,11,73%,9,33%,8,50%
